date,region,categorie,ventes,clients,prix_moyen,marge,cout_marketing,satisfaction_client
2024-01-15,Nord,Electronique,12500,78,160.26,3125.50,1250.00,4.2
2024-01-15,Sud,Electronique,9800,62,158.06,2450.00,980.00,4.1
2024-01-15,Est,Electronique,7600,45,168.89,1900.00,760.00,4.3
2024-01-15,Ouest,Electronique,11200,70,160.00,2800.00,1120.00,4.0
2024-01-15,Centre,Electronique,8900,55,161.82,2225.00,890.00,4.2
2024-01-15,Nord-Est,Electronique,7200,44,163.64,1800.00,720.00,4.1
2024-01-15,Nord,Mobilier,8700,35,248.57,3045.00,870.00,4.5
2024-01-15,Sud,Mobilier,7200,29,248.28,2520.00,720.00,4.3
2024-01-15,Est,Mobilier,5400,22,245.45,1890.00,540.00,4.4
2024-01-15,Ouest,Mobilier,9100,37,245.95,3185.00,910.00,4.2
2024-01-15,Centre,Mobilier,6800,28,242.86,2380.00,680.00,4.3
2024-01-15,Nord-Est,Mobilier,5100,21,242.86,1785.00,510.00,4.4
2024-01-15,Nord,Fournitures,4200,105,40.00,1260.00,420.00,4.0
2024-01-15,Sud,Fournitures,3800,95,40.00,1140.00,380.00,3.9
2024-01-15,Est,Fournitures,2900,73,39.73,870.00,290.00,4.1
2024-01-15,Ouest,Fournitures,4500,113,39.82,1350.00,450.00,4.0
2024-01-15,Centre,Fournitures,3600,90,40.00,1080.00,360.00,3.8
2024-01-15,Nord-Est,Fournitures,2700,68,39.71,810.00,270.00,4.0
2024-01-15,Nord,Decoration,3100,31,100.00,1395.00,310.00,4.7
2024-01-15,Sud,Decoration,2800,28,100.00,1260.00,280.00,4.6
2024-01-15,Est,Decoration,2200,22,100.00,990.00,220.00,4.8
2024-01-15,Ouest,Decoration,3400,34,100.00,1530.00,340.00,4.5
2024-01-15,Centre,Decoration,2600,26,100.00,1170.00,260.00,4.6
2024-01-15,Nord-Est,Decoration,1900,19,100.00,855.00,190.00,4.7
2024-01-15,Nord,Services,5600,28,200.00,3360.00,560.00,4.4
2024-01-15,Sud,Services,4900,25,196.00,2940.00,490.00,4.3
2024-01-15,Est,Services,3800,19,200.00,2280.00,380.00,4.5
2024-01-15,Ouest,Services,6100,31,196.77,3660.00,610.00,4.2
2024-01-15,Centre,Services,4500,23,195.65,2700.00,450.00,4.3
2024-01-15,Nord-Est,Services,3200,16,200.00,1920.00,320.00,4.4
2024-02-15,Nord,Electronique,11800,74,159.46,2950.00,1180.00,4.3
2024-02-15,Sud,Electronique,10200,65,156.92,2550.00,1020.00,4.2
2024-02-15,Est,Electronique,8100,48,168.75,2025.00,810.00,4.4
2024-02-15,Ouest,Electronique,12000,75,160.00,3000.00,1200.00,4.1
2024-02-15,Centre,Electronique,9500,59,161.02,2375.00,950.00,4.3
2024-02-15,Nord-Est,Electronique,7800,48,162.50,1950.00,780.00,4.2
2024-02-15,Nord,Mobilier,9200,38,242.11,3220.00,920.00,4.6
2024-02-15,Sud,Mobilier,7800,32,243.75,2730.00,780.00,4.4
2024-02-15,Est,Mobilier,5900,24,245.83,2065.00,590.00,4.5
2024-02-15,Ouest,Mobilier,9800,40,245.00,3430.00,980.00,4.3
2024-02-15,Centre,Mobilier,7300,30,243.33,2555.00,730.00,4.4
2024-02-15,Nord-Est,Mobilier,5600,23,243.48,1960.00,560.00,4.5
2024-03-15,Nord,Electronique,13200,83,159.04,3300.00,1320.00,4.2
2024-03-15,Sud,Electronique,10800,68,158.82,2700.00,1080.00,4.1
2024-03-15,Est,Electronique,8500,50,170.00,2125.00,850.00,4.3
2024-03-15,Ouest,Electronique,12800,80,160.00,3200.00,1280.00,4.0
2024-03-15,Centre,Electronique,10100,63,160.32,2525.00,1010.00,4.2
2024-03-15,Nord-Est,Electronique,8200,50,164.00,2050.00,820.00,4.1
2024-03-15,Nord,Mobilier,9800,40,245.00,3430.00,980.00,4.5
2024-03-15,Sud,Mobilier,8300,34,244.12,2905.00,830.00,4.3
2024-03-15,Est,Mobilier,6200,25,248.00,2170.00,620.00,4.4
2024-03-15,Ouest,Mobilier,10400,42,247.62,3640.00,1040.00,4.2
2024-03-15,Centre,Mobilier,7800,32,243.75,2730.00,780.00,4.3
2024-03-15,Nord-Est,Mobilier,5900,24,245.83,2065.00,590.00,4.4
2024-04-15,Nord,Electronique,14500,91,159.34,3625.00,1450.00,4.3
2024-04-15,Sud,Electronique,11500,72,159.72,2875.00,1150.00,4.2
2024-04-15,Est,Electronique,9200,54,170.37,2300.00,920.00,4.4
2024-04-15,Ouest,Electronique,13600,85,160.00,3400.00,1360.00,4.1
